Stock Name,,Arrowtooth flounder - Gulf of Alaska,Arrowtooth flounder - Gulf of Alaska,Arrowtooth flounder - Gulf of Alaska,Arrowtooth flounder - Gulf of Alaska,Dover sole - Gulf of Alaska,Dover sole - Gulf of Alaska,Dover sole - Gulf of Alaska,Dover sole - Gulf of Alaska,Dusky rockfish - Gulf of Alaska,Dusky rockfish - Gulf of Alaska,Dusky rockfish - Gulf of Alaska,Flathead sole - Gulf of Alaska,Flathead sole - Gulf of Alaska,Flathead sole - Gulf of Alaska,Flathead sole - Gulf of Alaska,Northern rock sole - Gulf of Alaska,Northern rock sole - Gulf of Alaska,Northern rock sole - Gulf of Alaska,Northern rock sole - Gulf of Alaska,Pacific cod - Gulf of Alaska,Pacific cod - Gulf of Alaska,Pacific cod - Gulf of Alaska,Pacific cod - Gulf of Alaska,Pacific ocean perch - Gulf of Alaska,Pacific ocean perch - Gulf of Alaska,Pacific ocean perch - Gulf of Alaska,Pacific ocean perch - Gulf of Alaska,Rex sole - Gulf of Alaska,Rex sole - Gulf of Alaska,Rex sole - Gulf of Alaska,Rex sole - Gulf of Alaska,Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,Walleye pollock - Western / Central / West Yakutat Gulf of Alaska,Walleye pollock - Western / Central / West Yakutat Gulf of Alaska
Stock ID,,10004,10004,10004,10004,10021,10021,10021,10021,10925,10925,10925,10016,10016,10016,10016,10836,10836,10836,10836,10506,10506,10506,10506,11056,11056,11056,11056,10058,10058,10058,10058,10513,10513,10513,10513
Assessment ID,,13082,13082,13082,13082,12044,12044,12044,12044,12641,12641,12641,13090,13090,13090,13090,11251,11251,11251,11251,12649,12649,12649,12649,12655,12655,12655,12655,11997,11997,11997,11997,12653,12653,12653,12653
Assessment Year,,2023,2023,2023,2023,2021,2021,2021,2021,2022,2022,2022,2023,2023,2023,2023,2020,2020,2020,2020,2022,2022,2022,2022,2022,2022,2022,2022,2019,2019,2019,2019,2022,2022,2022,2022
Assessment Month,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Parameter,Year,Catch,Fmort,Recruitment,Abundance,Catch,Fmort,Recruitment,Abundance,Catch,Recruitment,Abundance,Catch,Fmort,Recruitment,Abundance,Catch,Fmort,Recruitment,Abundance,Catch,Abundance,Fmort,Recruitment,Catch,Fmort,Recruitment,Abundance,Catch,Fmort,Recruitment,Abundance,Catch,Fmort,Recruitment,Abundance
Description,,Estimated Total Catch,F Rate for Fully Selected Fish,Recruits - Age 1,Mature Female Biomass,Landings + Discards,F Rate for Fully Selected Fish,Abundance - Age 0,Mature Female Biomass,Total Catch,Recruits - Age 4,Mature Female Biomass,Estimated Total Catch,Max F @ Age,Recruits - Age 0,Spawning Stock Biomass,Estimated Total Catch,Max F Rate at Age,Recruits - Age 0,Mature Female Biomass,Total Catch,Spawning Stock Biomass,Max F @ Age,Recruits - Age 0,Landings and Discards,F rate for Fully-selected Fish,Abundance - Age 2,Spawning Stock Biomass,Estimated Total Catch,Sum of Fully Selected F Rates,Recruits - Age 0,Spawning Stock Biomass,Estimated Total Catch,Max F @ Age,Abundance - Age 1,Spawning Stock Biomass
Unit,,Metric Tons,Fully Selected F,Recruits,Metric Tons,Metric Tons,Apical F,Thousand Recruits,Metric Tons,Metric Tons,Million Recruits,Metric Tons,Metric Tons,Apical F,Thousand Recruits,Metric Tons,Metric Tons,Apical F,Thousand Recruits,Metric Tons,Metric Tons,Metric Tons,Apical F,Thousand Recruits,Metric Tons,Fully-selected F,Million Recruits,Metric Tons,Metric Tons,Absolute F,Thousand Recruits,Metric Tons,Metric Tons,Apical F,Million Recruits,Metric Tons
,1961,,,,,,,,,,,,,,,,,,,,,,,,16000,0.033360001,106.6819992,221690,,,,,,,,
,1962,,,,,,,,,,,,,,,,,,,,,,,,65000,0.115900002,130.022995,235899,,,,,,,,
,1963,,,,,,,,,,,,,,,,,,,,,,,,136300,0.210730001,201.227005,247043,,,,,,,,
,1964,,,,,,,,,,,,,,,,,,,,,,,,243400,0.404080003,133.2180023,249511,,,,,,,,
,1965,,,,,,,,,,,,,,,,,,,,,,,,348600,0.701139987,139.0800018,219342,,,,,,,,
,1966,,,,,,,,,,,,,,,,,,,,,,,,200800,0.460200012,279.1669922,155679,,,,,,,,
,1967,,,,,,,,,,,,,,,,,,,,,,,,120000,0.320560008,156.1410065,134267,,,,,,,,
,1968,,,,,,,,,,,,,,,,,,,,,,,,100200,0.316000015,88.41850281,126033,,,,,,,,
,1969,,,,,,,,,,,,,,,,,,,,,,,,72600,0.262129992,63.89149857,114470,,,,,,,,
,1970,,,,,,,,,,,,,,,,,,,,,,,,44900,0.172010005,66.39009857,106550,,,,,9379,0.03844,1240.72998,125876
,1971,,,,,,,,,,,,,,,,,,,,,,,,77500,0.309170008,56.22800064,106452,,,,,9460,0.041329999,3247.870117,120122
,1972,,,,,,,,,,,,,,,,,,,,,,,,77600,0.340039998,41.79489899,93963,,,,,38131,0.191139996,3687.550049,110814
,1973,,,,,,,,,,,,,,,,,,,,,,,,56400,0.279040009,36.24259949,80829,,,,,44993,0.26394999,10856.7002,94158.39844
,1974,,,,,,,,,,,,,,,,,,,,,,,,51000,0.293139994,33.11899948,72902,,,,,61905,0.343829989,2187.919922,85857.29688
,1975,,,,,,,,,,,,,,,,,,,,,,,,50400,0.355569988,31.04640007,63797,,,,,59504,0.217150003,2232.330078,92676.29688
,1976,,,,,,,,,,,,,,,,,,,,,,,,45500,0.412519991,30.59399986,51793,,,,,86731,0.287809998,8952.780273,124063
,1977,9449,0.0129,582419968,724860,,,,,388,1606,11752,,,,,2296,0.049929999,106962.3984,45484,2268,92966.5,0.01079,988753,21600,0.271109998,36.47829819,39531,,,,,118092,0.346949995,12183.59961,140812
,1978,8409,0.01158,641294976,718291,827,0.00729,24745.30078,48489,162,1710,11238,452,0.0049,405901,58152,2182,0.048140001,119915.7969,44900,12190,104326,0.051899999,502098,8000,0.106360003,57.00220108,35284,,,,,95408,0.321500003,14531.90039,129761
,1979,7579,0.01052,691228032,711867,530,0.0047,16966.5,48158,224,2194,10919,165,0.0019,274219,56139,2250,0.05046,127793.2031,44267,14904,102381,0.068240002,395560,8300,0.109970003,43.58240128,36034,,,,,106161,0.250090003,26005.40039,138034
,1980,7848,0.01099,636377024,704909,570,0.00507,15128.2002,47951,597,5312,10634,2068,0.024,330563,54689,2120,0.04837,113071,43499,35345,100289.5,0.163859993,490572,10800,0.146239996,38.39720154,36459,,,,,115158,0.191090003,13165.5,192300
,1981,7433,0.01051,546060992,696755,457,0.00407,15160.09961,47754,845,6042,10265,1070,0.0128,331390,52949,2356,0.054639999,104664.7969,42727,36131,119195.5,0.105630003,770779,10500,0.147799999,39.87080002,35628,,,,,147818,0.148550004,7372.149902,212033
,1982,4639,0.0066,527672992,689392,457,0.00407,15182,47621,852,6742,9907,1368,0.0163,347196,52871,721,0.01677,98060.60156,41845,29465,143623,0.081220001,759254,5400,0.075929999,51.04859924,34768,,0.016000001,105098,46408,169045,0.121260002,7375.700195,343751
,1983,6331,0.00902,596934976,686996,354,0.00313,13699.2002,47519,1017,3871,9667,1080,0.0124,331921,54263,1614,0.037239999,89764.20313,41932,36540,153763,0.102899998,700529,2821,0.037379999,52.52030182,36105,,0.01,144103,46648,215625,0.150409997,5128.959961,478024
,1984,3457,0.00492,813742016,687252,132,0.00116,10565.5,47502,540,5375,9547,549,0.0058,314314,57829,917,0.020889999,109818.7969,41985,23898,156225.5,0.066869996,623620,2752,0.033569999,54.77740097,38832,,0.006,139053,47417,307541,0.203979999,6122.22998,530290
,1985,1539,0.00217,1187420032,693367,43,0.00037,8510.05957,47632,34,3463,9816,320,0.003,312777,63602,408,0.00911,139527.5938,42912,14428,174891,0.059390001,891186,800,0.00895,79.40440369,42012,,0.002,154457,48245,286900,0.260659993,15107.7002,483150
,1986,1221,0.0017,1152620032,700724,23,0.0002,9408.30957,47866,17,3239,10593,147,0.0013,226759,70420,364,0.00796,136307.4063,44280,25012,204307.5,0.08574,610227,2200,0.022670001,119.3740005,46350,,0.001,129565,48874,86910,0.087609999,4288.680176,439491
,1987,4963,0.00686,1104249984,704607,56,0.00047,10795.5,48186,19,2245,11645,151,0.0012,339469,76619,1433,0.03118,208062,45258,32939,227282,0.06247,609262,4500,0.04352,111.5500031,50399,,0.017999999,132510,49321,68070,0.064609997,1890.030029,411889
,1988,5138,0.00703,1124739968,703325,1087,0.00908,8649.900391,48576,1067,9628,12876,520,0.0038,255374,81094,714,0.01555,100839.7969,45183,33802,236673,0.061689999,642996,8540,0.07931,174.3569946,53709,,0.017999999,78978,49579,63391,0.05985,4886.549805,415522
,1989,2584,0.00347,1055270016,707227,1521,0.01272,6504.609863,48650,1707,6167,13762,747,0.0054,398770,83755,1688,0.03675,86681.60156,45009,43293,246814,0.077519998,645914,11780,0.106959999,137.0639954,55684,,0.009,59804,50734,75585,0.0779,11438.7998,430295
,1990,7706,0.00998,905193984,728190,2348,0.019819999,6204.439941,48619,1612,18966,14474,1447,0.0104,259725,85217,2190,0.047600001,93963.39844,44231,72517,248159,0.188940004,830079,13090,0.114419997,108.9570007,56973,,0.017999999,62661,52974,88269,0.090839997,8503.519531,441612
,1991,17388,0.02152,964108032,765076,10067,0.08901,12661.09961,48290,2035,13173,15249,1237,0.0089,366936,85644,2415,0.05178,100920.3984,43938,76300.5,230387.5,0.216769993,548209,6548,0.052669998,54.08100128,58915,,0.064000003,41529,55080,100488,0.131909996,3341.050049,434420
,1992,21916,0.025760001,930369984,807846,8266,0.078780003,7243.399902,44947,3443,11435,15965,2315,0.016799999,325309,85654,3371,0.070979998,82594.60156,44601,80747.10156,213000.5,0.24786,483545,6538,0.045949999,64.6917038,65083,,0.041999999,52278,55043,90858,0.134059995,2395.77002,394170
,1993,19078,0.021260001,743926016,849487,6675,0.068039998,9713.75,42217,3119,3103,15946,2824,0.0208,333007,84662,4056,0.084909998,72409.39844,45865,56487.5,200365,0.180570006,345462,2060,0.01236,66.38999939,73323,,0.041999999,49521,55074,108909,0.135299996,1748.890015,424839
,1994,22918,0.024429999,734372992,890075,3040,0.03249,8128.47998,40015,2913,8284,16438,2525,0.0189,323773,83106,1504,0.031399999,107671.3984,47526,47484.64063,205996,0.147740006,369884,1841,0.00935,75.00170135,85226,,0.052999999,56856,53839,107335,0.128879994,1783.469971,498057
,1995,18279,0.018859999,787372992,920516,1865,0.020470001,8199.070313,39143,2836,6154,17533,2180,0.0167,227532,81640,1962,0.041000001,139537.5938,48314,68985.20313,210226.5,0.217020005,523515,5741,0.025490001,61.01139832,98726,4021,0.063000001,70568,50996,72618,0.08783,6691.390137,414521
,1996,22484,0.02272,765886016,945287,2177,0.02444,8145.810059,38645,2275,18314,19193,3074,0.0239,209619,80570,3298,0.07051,137186.4063,47388,68279.89844,192334.5,0.235789999,335220,8378,0.04064,138.5269928,111097,5874,0.104000002,95589,47149,51263,0.076200001,3186.870117,382307
,1997,16363,0.01636,930620992,958265,3642,0.04222,9019.05957,37926,2464,3358,21379,2441,0.019200001,359380,79460,2733,0.06064,153087.7969,45522,77170.29688,166601.5,0.31656,352878,9519,0.04301,151.871994,121220,3294,0.064999998,154501,41919,90130,0.166700006,1516.790039,338895
,1998,12958,0.01289,1203600000,969222,2210,0.02644,10206.09961,36534,3107,10257,23491,1731,0.0136,347730,79087,1266,0.028890001,171681.7969,43958,72624.70313,138252.5,0.363409996,268422,8908,0.038619999,89.44599915,128682,2669,0.057999998,170189,38356,125460,0.294959992,1451.530029,262915
,1999,16142,0.01608,1303129984,973447,2261,0.027729999,19635.90039,35672,4535,20842,25093,897,0.007,412366,79321,883,0.02035,221980,42715,82542.60156,122006.5,0.489749998,370193,10473,0.04473,110.8730011,134112,3060,0.072999999,174341,35546,95638,0.250510007,1780.349976,244417
,2000,24211,0.0244,1656300032,966484,964,0.01203,11450.2998,34758,3699,2606,25734,1548,0.012,256085,80033,2693,0.06233,107992.3984,41683,66551.39844,104987.5,0.450370014,446082,10146,0.043409999,225.302002,137236,3591,0.093000002,138178,33210,73080,0.18265,6425.149902,231950
,2001,19926,0.02035,1081600000,950339,801,0.01008,7540.680176,34359,2997,12845,26642,1912,0.0148,297748,80283,2386,0.054880001,62825.39844,40959,51530.39844,92439,0.381410003,308742,10817,0.046659999,140,139909,2940,0.016000001,108519,31704,72077,0.180720001,7006.100098,217299
,2002,21213,0.02176,972889024,941897,550,0.00695,8098.529785,34043,3301,16181,27941,2146,0.0167,330589,80031,2782,0.062350001,62512.19922,41742,54637.39844,84865.5,0.444350004,205332,11734,0.050859999,214.6640015,142748,2941,0.01,106159,32188,51933.5,0.128399998,1041.380005,183095
,2003,30254,0.030859999,888224000,943550,899,0.01136,8894.719727,33848,3020,7125,29228,2459,0.019300001,369597,79250,1777,0.03799,112056.2031,43038,52581.5,79759,0.453000009,248784,10846,0.04645,117.2539978,146460,3485,0.006,185134,34481,50684,0.096040003,796,169861
,2004,15758,0.015690001,929771008,956312,646,0.00813,13437.09961,33546,2557,10732,30750,2398,0.019200001,327431,78090,1108,0.02231,139592,45532,56623.60156,81894.5,0.481759995,293021,11640,0.048659999,171.1100006,152216,1464,0.002,162319,37918,63844,0.107550003,767.065979,186351
,2005,19989,0.01911,943977024,1000360,378,0.00472,8278.799805,33395,2209,10198,32528,2552,0.0207,360545,77198,2065,0.039859999,126834.2031,49351,47584.35156,79790,0.576139987,438027,11248,0.045150001,70.08920288,159246,2176,0.001,223018,42708,80978,0.145970002,1848.030029,226179
,2006,27739,0.02551,883212032,1050130,327,0.00404,6802.47998,33405,2437,4538,34534,3142,0.025599999,272926,76856,2882,0.055289999,71533.39844,52827,47897.10156,73028.5,0.608900011,675307,13595,0.051679999,116.1289978,167917,3294,0.017999999,111620,46419,71976,0.142639995,6092.100098,243292
,2007,25508,0.022779999,646417984,1084240,235,0.00288,6510.399902,33501,3373,5459,36394,3130,0.0255,268912,76812,3364,0.066079997,59389,52878,52261,64425,0.571609974,497317,12955,0.039999999,85.88420105,177063,2852,0.017999999,101201,48480,52714,0.104350001,5922.700195,216218
,2008,29270,0.02578,618376000,1099520,517,0.00627,7196.029785,33693,3620,6178,37714,3446,0.027899999,290336,77004,3635,0.074019998,58535.19922,50103,59014,59571.5,0.682179987,662797,12461,0.036619999,198.7810059,187413,2703,0.009,51179,50409,52584,0.085989997,7061.419922,216364
,2009,24912,0.022,462040000,1095640,435,0.00524,8133.02002,33835,3069,7508,38715,3663,0.0296,343202,76961,3269,0.068790004,98831.60156,46819,53196.30078,64239,0.528410017,473570,12986,0.036320001,144.3350067,198335,4753,0.017999999,48299,52952,44247,0.055780001,3224.040039,215453
,2010,24496,0.02193,451672992,1087590,546,0.00656,13623.7002,34056,3132,9686,39675,3903,0.0317,606335,76769,1643,0.035239998,157376.4063,45188,78593,84633.5,0.615800023,511134,15616,0.041979998,224.0740051,208343,3636,0.064000003,94900,55080,76748,0.078890003,1311.099976,297550
,2011,30959,0.028349999,578286016,1076310,453,0.00543,18966.19922,34263,2531,14442,40242,2732,0.0222,431887,76595,1547,0.033750001,226532,45555,85366.70313,96908.5,0.59503001,629026,14224,0.037050001,78.71399689,215647,2594,0.041999999,91658,57713,81503,0.086929999,5117.75,349132
,2012,20615,0.019409999,689422976,1052990,260,0.00312,12744.5,34510,4010,12203,40714,2167,0.0174,354057,77115,1414,0.031709999,138935.5938,45612,77930.39844,104694.5,0.493779987,1250000,14916,0.03782,164.0160065,221684,2425,0.041999999,39850,59350,103954,0.108790003,932.2369995,373390
,2013,21536,0.020959999,698451008,1027160,216,0.00259,10448.59961,34817,3158,9871,40230,2819,0.022500001,318449,77818,2029,0.047219999,84363.60156,44204,68575.89844,110162,0.407139987,844389,13181,0.032749999,58.1393013,225966,3707,0.052999999,28270,59091,96363,0.10802,44193,403836
,2014,36311,0.037160002,571099008,988811,284,0.0035,14915.5,35116,3062,22778,40022,2557,0.020400001,332472,77930,1720,0.04115,127100.3984,41590,84945.10156,114924,0.585300028,300489,17712,0.043019999,148.1329956,230461,3577,0.063000001,180497,56301,142640,0.204940006,2840.159912,311464
,2015,19083,0.020679999,507484992,929268,198,0.00256,28990.90039,33784,2780,2804,39969,2001,0.015900001,445106,77983,1311,0.03111,113608.7969,39428,79480.5,82364.5,0.775860012,271685,18733,0.044939999,104.5449982,233421,1957,0.104000002,262142,52735,167549,0.227320001,71.29570007,290396
,2016,19819,0.02263,583086016,883013,231,0.00312,20700.19922,32493,3322,7194,40348,2422,0.019200001,589093,78511,1504,0.034309998,122753,39284,64054.5,66547,0.785340011,280966,23034,0.054779999,124.112999,236705,1748,0.064999998,112996,50180,177129,0.143549994,9.908960342,309622
,2017,26904,0.032370001,637939008,842156,188,0.00265,11698.2002,31216,2621,2920,40872,2050,0.016000001,416785,79580,1059,,131118.4063,41831,48726.92969,49557.30078,0.892750025,211258,23860,0.057039998,75.35649872,238462,1483,,112996,47939,186155,0.147819996,2077.899902,420841
,2018,18833,0.02366,869841984,805638,144,0.0021,11496,30023,2909,6313,42051,2202,0.0167,224191,81880,1048,,,,15150.41992,42244.75,0.26936999,165176,24737,0.059470002,245.5039978,239234,1749,,,,158070,0.164220005,7726.790039,408199
,2019,24581,0.031909999,563286016,783231,92,0.001,11572.90039,28923,2489,2391,43268,2668,0.019400001,440116,84798,1086,,,,15715.7998,42175.44922,0.264409989,80070.70313,25470,0.062089998,125.6460037,238340,,,,,120243,0.172859997,5449.930176,325949
,2020,21122,0.028200001,670468992,757054,97,,,,2198,2541,44582,1911,0.0134,238097,87357,,,,,6841.029785,43895.85156,0.095509999,218124,25191,0.062369999,85.48930359,235704,,,,,107471,0.161650002,197.1699982,238090
,2021,10052,0.01367,436000000,730753,,,,,2928,2370,45657,708,0.0048,383528,89578,,,,,19175.91992,51289,0.262739986,256579,28187,0.071000002,85.00389862,222301,,,,,101160,0.147269994,10296.40039,251524
,2022,12233,,,702074,,,,,,2703,45790,564,,383528,91832,,,,,,51733.5,,455770,,,,216635,,,,,,,64.87090302,243403
,2023,,,,690799,,,,,,,,,,,94059,,,,,,,,,,,,,,,,,,,,